"Address","Town","Sector","Revenue","Name"
" "," ","Telecomunicazioni","2.880","Esosphera S.r.l."
" "," ","Servizi generali","1.738","Geatop S.r.l."
" "," ","Tecnologia","35.485","Namirial S.p.A."
" "," "," "," ",""
" "," ","Tecnologia","19.658","Nicolis Project S.r.l."
" "," ","Vendita al dettaglio & all'ingrosso","3.117","Centro Sistemi Innovativi S.r.l."
" "," ","Vendita al dettaglio & all’ingrosso","7.916","Color Max S.r.l."
" "," ","Consulenza manageriale","2.860","Ithude S.r.l."
" "," ","Trasporti & logistica","7.247","GTProject S.r.l."
" "," "," ","3.403","Transporent S.r.l."
